Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;09/11/2017;0000;;19.62;
83914;09/11/2017;1200;11.2;;
83914;10/11/2017;0000;;15.86;
83914;10/11/2017;1200;17.6;;
83914;11/11/2017;0000;;18.46;
83914;11/11/2017;1200;1.2;;
83914;12/11/2017;0000;;18.08;
83914;12/11/2017;1200;0;;
83914;13/11/2017;0000;;20.2;
83914;13/11/2017;1200;0;;
83914;14/11/2017;0000;;22.8;
83914;14/11/2017;1200;0;;
83914;15/11/2017;0000;;23;
83914;15/11/2017;1200;0;;
83914;16/11/2017;0000;;20.64;
83914;16/11/2017;1200;0;;
83914;17/11/2017;0000;;18.16;
83914;17/11/2017;1200;11.8;;
83914;18/11/2017;0000;;18.3;
83914;18/11/2017;1200;51.3;;
83914;19/11/2017;0000;;16.52;
83914;19/11/2017;1200;2.6;;
83914;20/11/2017;0000;;19.9;
83914;20/11/2017;1200;0;;
83914;21/11/2017;0000;;19.4;
83914;21/11/2017;1200;0;;
83914;22/11/2017;0000;;15.16;
83914;22/11/2017;1200;12;;
83914;23/11/2017;0000;;19.02;
83914;23/11/2017;1200;0;;
83914;24/11/2017;0000;;22.7;
83914;24/11/2017;1200;0;;
83914;25/11/2017;0000;;18.46;
83914;25/11/2017;1200;0;;
83914;26/11/2017;0000;;17.68;
83914;26/11/2017;1200;31.2;;
83914;27/11/2017;0000;;20.3;
83914;27/11/2017;1200;0;;
83914;28/11/2017;0000;;21.58;
83914;28/11/2017;1200;0;;
83914;29/11/2017;0000;;21.9;
83914;29/11/2017;1200;0;;
83914;30/11/2017;0000;;20.74;
83914;30/11/2017;1200;0;;
83914;01/12/2017;0000;;21.6;
83914;01/12/2017;1200;1.4;;
83914;02/12/2017;0000;;22.46;
83914;02/12/2017;1200;0;;
83914;03/12/2017;0000;;20.64;
83914;03/12/2017;1200;0;;
83914;04/12/2017;0000;;21.3;
83914;04/12/2017;1200;10.6;;
83914;05/12/2017;0000;;21.56;
83914;05/12/2017;1200;0;;
83914;06/12/2017;0000;;22.94;
83914;06/12/2017;1200;0;;
83914;07/12/2017;0000;;22.62;
83914;07/12/2017;1200;6.3;;
83914;08/12/2017;0000;;22.48;
83914;08/12/2017;1200;0.1;;
83914;09/12/2017;0000;;23.32;
83914;09/12/2017;1200;0;;
83914;10/12/2017;0000;;23.78;
83914;10/12/2017;1200;0;;
83914;11/12/2017;0000;;19.64;
83914;11/12/2017;1200;0;;
83914;12/12/2017;0000;;21.58;
83914;12/12/2017;1200;0;;
83914;13/12/2017;0000;;23.96;
83914;13/12/2017;1200;0;;
83914;14/12/2017;0000;;23.36;
83914;14/12/2017;1200;0;;
83914;15/12/2017;0000;;25.54;
83914;15/12/2017;1200;0;;
83914;16/12/2017;0000;;26.26;
83914;16/12/2017;1200;0;;
83914;17/12/2017;0000;;24.7;
83914;17/12/2017;1200;0;;
83914;18/12/2017;0000;;19.22;
83914;18/12/2017;1200;6;;
83914;19/12/2017;0000;;24.32;
